N	Z	P1n	P2n	P3n	Element
118	52	2.7	1.8	8.5	Te
119	52	0.2	0.9	1	Te
120	52	1.6	0.5	3.4	Te
121	52	0	0.6	0.2	Te
122	52	0.8	0.1	1.2	Te
123	52	0	0.3	0	Te
124	52	0.2	0	0.6	Te
75	53	0	0	0	I
76	53	0	0	0	I
77	53	0	0	0	I
78	53	0	0	0	I
79	53	0	0	0	I
80	53	0	0	0	I
81	53	1	0	0	I
82	53	1.2	0	0	I
83	53	1.7	0.7	0	I
84	53	11.1	0.8	0.1	I
85	53	10.8	2.7	0.5	I
86	53	18.2	1.1	0.9	I
87	53	18.8	3.1	0.5	I
88	53	33	1.3	0.8	I
89	53	54.7	4.5	0.7	I
90	53	59.7	1.6	1	I
91	53	70.1	7	0.8	I
92	53	76.5	1.9	1.2	I
93	53	71.8	12.8	1	I
94	53	80.2	2.6	1.4	I
95	53	56.5	30.8	1.3	I
96	53	82.4	4	1.9	I
97	53	24.2	64.2	1.8	I
98	53	81.2	6.7	2.6	I
99	53	9.9	78.2	2.8	I
100	53	73.9	13.7	3.9	I
101	53	5.1	81	4.4	I
102	53	50.1	35.4	6.4	I
103	53	3.2	74.4	11.6	I
104	53	23.3	55.5	12.9	I
105	53	2	47.8	35	I
106	53	13.1	38.7	39	I
107	53	1.3	22.3	46.4	I
108	53	8.4	17.1	63.1	I
109	53	0.8	11.6	17	I
110	53	5.5	9.1	68.3	I
111	53	0.5	5.7	8.8	I
112	53	3.7	4.7	51.2	I
113	53	0.3	3.4	3.5	I
114	53	2.5	2.7	20.8	I
115	53	0.2	1.9	1.3	I
116	53	1.6	1.1	11.1	I
117	53	0.1	1.2	0.5	I
118	53	1.1	0.3	5.4	I
119	53	0	0.8	0.2	I
120	53	0.8	0	2.8	I
121	53	0	0.5	0	I
122	53	0.5	0	1.3	I
123	53	0	0.3	0	I
124	53	0.2	0	0.5	I
125	53	0	0.1	0	I
126	53	0	0	0.2	I
71	54	0	0	0	Xe
73	54	0	0	0	Xe
79	54	0	0	0	Xe
81	54	0	0	0	Xe
83	54	0.8	0	0	Xe
84	54	2	0	0	Xe
85	54	2.1	1.1	0	Xe
86	54	2.4	0.5	0	Xe
87	54	2.5	1.1	0.3	Xe
88	54	2.7	0.6	0.2	Xe
89	54	3.4	1.3	0.4	Xe
90	54	3.1	0.7	0.5	Xe
91	54	5	1.5	0.4	Xe
92	54	3.7	0.7	0.5	Xe
93	54	7.1	1.9	0.5	Xe
94	54	4.5	0.9	0.6	Xe
95	54	11.5	2.4	0.6	Xe
96	54	6.3	1	0.6	Xe
97	54	21.9	3.2	0.7	Xe
98	54	9.3	1.2	0.7	Xe
99	54	47.5	4.6	0.8	Xe
100	54	15.1	1.6	0.9	Xe
101	54	63	7.2	1	Xe
102	54	30.1	2	1.1	Xe
103	54	67.3	13.3	1.4	Xe
104	54	51.4	2.8	1.4	Xe
105	54	51	32.3	1.9	Xe
106	54	66.4	4.1	1.8	Xe
107	54	27.5	56.8	3	Xe
108	54	68.8	6.3	2.4	Xe
109	54	14.3	68	5.4	Xe
110	54	66.6	11.5	3.4	Xe
111	54	8.5	65	13.4	Xe
112	54	50.8	27	5.3	Xe
113	54	4.9	39.6	38.1	Xe
114	54	26.6	46.9	9.6	Xe
115	54	2.9	18	41.9	Xe
116	54	14.6	37.3	30.2	Xe
117	54	1.8	10.1	13.6	Xe
118	54	9.3	12.2	54.6	Xe
119	54	1	5.4	6.5	Xe
120	54	5.5	6.1	27.5	Xe
121	54	0.6	2.7	3.1	Xe
122	54	3.1	2.7	11.2	Xe
123	54	0.2	1.5	1.1	Xe
124	54	1.4	1	4.8	Xe
125	54	0	0.8	0.4	Xe
126	54	0.5	0.2	0.7	Xe
127	54	0	0.3	0	Xe
128	54	0	0	0.2	Xe
79	55	0	0	0	Cs
80	55	0	0	0	Cs
81	55	0	0	0	Cs
82	55	0	0	0	Cs
83	55	1.4	0.2	0	Cs
84	55	5.1	0.1	0	Cs
85	55	4.3	1.7	0.1	Cs
86	55	6.3	0.8	0.3	Cs
87	55	6	1.7	0.4	Cs
88	55	9.2	0.9	0.6	Cs
89	55	12	2.2	0.5	Cs
90	55	16	1	0.7	Cs
91	55	27.9	2.9	0.5	Cs
92	55	26.7	1.2	0.7	Cs
93	55	56.2	4.1	0.6	Cs
94	55	47.1	1.4	0.9	Cs
95	55	71.7	6.1	0.7	Cs
96	55	71.2	1.8	1	Cs
97	55	75.3	10.4	0.9	Cs
98	55	81.1	2.5	1.3	Cs
99	55	64.8	23.3	1.2	Cs
100	55	83.4	3.7	1.6	Cs
101	55	31.1	57.9	1.6	Cs
102	55	82.7	5.9	2.2	Cs
103	55	12.9	76.1	2.4	Cs
104	55	77.7	10.8	3.2	Cs
105	55	6.7	81	3.6	Cs
106	55	64.3	23.3	4.6	Cs
107	55	4.4	79.2	7.3	Cs
108	55	32.9	51.3	8.1	Cs
109	55	2.7	67	19	Cs
110	55	17.6	55.5	18.7	Cs
111	55	1.8	30	50.6	Cs
112	55	11.1	28.8	50.7	Cs
113	55	1.1	16.6	37.7	Cs
114	55	7.5	13.7	66.4	Cs
115	55	0.7	9.3	12.2	Cs
116	55	5.1	7.6	66.6	Cs
117	55	0.4	5.2	6	Cs
118	55	3.1	3.8	33.3	Cs
119	55	0.3	2.7	3.1	Cs
120	55	1.9	1.9	14.4	Cs
121	55	0.2	1.4	1.3	Cs
122	55	1.3	0.6	7.5	Cs
123	55	0.1	0.9	0.3	Cs
124	55	0.9	0.2	3.4	Cs
125	55	0	0.5	0.1	Cs
126	55	0.4	0	1	Cs
127	55	0	0.3	0	Cs
128	55	0.1	0	0.2	Cs
129	55	0	0	0	Cs
75	56	0	0	0	Ba
77	56	0	0	0	Ba
83	56	0	0	0	Ba
84	56	0	0	0	Ba
85	56	1.5	0	0	Ba
86	56	0.7	0	0	Ba
87	56	1.7	0.5	0	Ba
88	56	1.7	0	0	Ba
89	56	2.1	0.9	0.1	Ba
90	56	2.2	0.2	0	Ba
91	56	2.6	1	0.3	Ba
92	56	2.4	0.6	0	Ba
93	56	3.4	1.2	0.4	Ba
94	56	2.9	0.6	0.3	Ba
95	56	4.6	1.5	0.4	Ba
96	56	3.4	0.7	0.5	Ba
97	56	7.1	1.8	0.5	Ba
98	56	4.4	0.8	0.5	Ba
99	56	11.4	2.2	0.5	Ba
100	56	6.1	1	0.6	Ba
101	56	21.3	3	0.6	Ba
102	56	9.4	1.2	0.7	Ba
103	56	44.9	4.1	0.8	Ba
104	56	14.4	1.5	0.8	Ba
105	56	63.2	6.3	0.9	Ba
106	56	22.4	1.9	0.9	Ba
107	56	70.2	9.9	1.3	Ba
108	56	44.9	2.5	1.2	Ba
109	56	64.6	18.8	1.7	Ba
110	56	62	3.4	1.5	Ba
111	56	39.6	45.2	2.5	Ba
112	56	69.5	5	2.1	Ba
113	56	18.2	65.7	3.5	Ba
114	56	68.7	8.2	2.7	Ba
115	56	10.7	69.8	7.1	Ba
116	56	62.8	15.3	3.7	Ba
117	56	6.9	60.5	18.3	Ba
118	56	37.4	39.3	7	Ba
119	56	4.8	24.9	49.5	Ba
120	56	18.5	46.8	18.1	Ba
121	56	2.8	12.7	28.7	Ba
122	56	10.8	19	51	Ba
123	56	1.4	7.1	9.3	Ba
124	56	7	6.4	46.9	Ba
125	56	0.6	3.1	3.9	Ba
126	56	1.7	2.6	7.9	Ba
127	56	0	1.9	0	Ba
128	56	0.4	0.6	1	Ba
129	56	0	0.2	0.1	Ba
130	56	0	0	0.2	Ba
131	56	0	0	0	Ba
83	57	0.5	0	0	La
84	57	2.4	0	0	La
85	57	4.1	0.9	0	La
86	57	3.9	0	0	La
87	57	3.4	1.2	0.1	La
88	57	5	0.5	0	La
89	57	5.2	1.4	0.4	La
90	57	6.2	0.7	0.2	La
91	57	7.4	1.7	0.4	La
92	57	8.3	0.8	0.5	La
93	57	11.2	2.1	0.4	La
94	57	11.7	1	0.6	La
95	57	24.5	2.7	0.5	La
96	57	19.7	1.1	0.7	La
97	57	60.4	3.9	0.6	La
98	57	51.2	1.4	0.8	La
99	57	75.1	5.7	0.7	La
100	57	74.5	1.8	1	La
101	57	76.6	9.5	0.9	La
102	57	82.4	2.5	1.2	La
103	57	68.9	19.6	1.1	La
104	57	83.9	3.5	1.5	La
105	57	45.1	44.3	1.3	La
106	57	83.5	5.2	1.8	La
107	57	18.1	71.7	2.2	La
108	57	80.5	8.8	2.6	La
109	57	9.3	79.4	3.4	La
110	57	70.5	17.9	4	La
111	57	6.2	79.1	6.6	La
112	57	43.3	42.8	6.5	La
113	57	3.7	76.9	9.7	La
114	57	22.7	58.9	10.7	La
115	57	2.4	51	33.7	La
116	57	14.2	51.3	26	La
117	57	1.5	23	52.4	La
118	57	9.6	19.3	60.8	La
119	57	1	11.9	24.6	La
120	57	6.5	8.5	69.8	La
121	57	0.6	7.7	8.1	La
122	57	4	5.1	53.3	La
123	57	0.4	3.4	4.9	La
124	57	2.4	1.9	20	La
125	57	0.2	1.5	1.5	La
126	57	1	0.7	5.8	La
127	57	0	1.1	0	La
128	57	0.3	0.1	1	La
129	57	0	0.2	0	La
130	57	0	0	0.2	La
131	57	0	0	0	La
79	58	0	0	0	Ce
81	58	0	0	0	Ce
83	58	0	0	0	Ce
85	58	0	0	0	Ce
86	58	0	0	0	Ce
87	58	0.5	0	0	Ce
88	58	0	0	0	Ce
89	58	1.6	0	0	Ce
90	58	0.4	0	0	Ce
91	58	1.9	0.5	0	Ce
92	58	1.4	0	0	Ce
93	58	2.1	0.9	0	Ce
94	58	2.1	0	0	Ce
95	58	2.7	1	0.3	Ce
96	58	2.3	0.4	0	Ce
97	58	3.5	1.2	0.4	Ce
98	58	2.8	0.6	0.2	Ce
99	58	4.9	1.4	0.4	Ce
100	58	3.5	0.7	0.5	Ce
101	58	7.9	1.8	0.5	Ce
102	58	4.9	0.9	0.5	Ce
103	58	12.1	2.2	0.5	Ce
104	58	6.4	1	0.6	Ce
105	58	18.5	2.7	0.6	Ce
106	58	8.5	1.1	0.6	Ce
107	58	48.5	3.6	0.8	Ce
108	58	13.5	1.4	0.7	Ce
109	58	64.8	5.3	0.9	Ce
110	58	23	1.7	0.9	Ce
111	58	72.3	8.2	1.2	Ce
112	58	43.2	2.2	1.1	Ce
113	58	67.2	14.6	1.4	Ce
114	58	57.4	3	1.3	Ce
115	58	52.7	31.3	2.1	Ce
116	58	65.6	4.2	1.7	Ce
117	58	26.2	57.4	2.8	Ce
118	58	69.3	6.3	2.4	Ce
119	58	14.5	68	5.2	Ce
120	58	66.7	11	3.3	Ce
121	58	9.1	67.5	10.2	Ce
122	58	50.2	27.3	5.1	Ce
123	58	7	29.4	47.6	Ce
124	58	23.9	47.5	11.3	Ce
125	58	3.2	14.7	37.5	Ce
126	58	9.7	18.8	51.4	Ce
127	58	0.1	6.5	2.3	Ce
128	58	1.4	1.2	5	Ce
129	58	0	0.7	1.3	Ce
130	58	0	0	1.2	Ce
131	58	0	0	0	Ce
83	59	0	0	0	Pr
84	59	0	0	0	Pr
85	59	1.3	0	0	Pr
86	59	0.2	0	0	Pr
87	59	2.5	0.2	0	Pr
88	59	2.5	0	0	Pr
89	59	3.5	0.8	0	Pr
90	59	3.8	0	0	Pr
91	59	4.1	1.2	0.1	Pr
92	59	4.7	0.4	0	Pr
93	59	5.1	1.4	0.3	Pr
94	59	5.8	0.7	0.1	Pr
95	59	8.1	1.7	0.4	Pr
96	59	7.7	0.8	0.3	Pr
97	59	13.2	2.1	0.4	Pr
98	59	11.7	1	0.6	Pr
99	59	31.6	2.7	0.5	Pr
100	59	23.9	1.1	0.7	Pr
101	59	62.6	3.5	0.6	Pr
102	59	53.9	1.4	0.8	Pr
103	59	73.9	5.1	0.7	Pr
104	59	71.7	1.7	0.9	Pr
105	59	75.7	7.8	0.8	Pr
106	59	79.8	2.2	1.1	Pr
107	59	73.3	14.3	1	Pr
108	59	82.9	3	1.3	Pr
109	59	55.2	33.9	1.3	Pr
110	59	83.5	4.6	1.7	Pr
111	59	24.4	65.5	1.8	Pr
112	59	81.9	7.4	2.3	Pr
113	59	12.2	77.3	2.5	Pr
114	59	75.4	13.7	3.1	Pr
115	59	8	79.9	4.3	Pr
116	59	57	30.9	4.7	Pr
117	59	5.5	79.1	6.6	Pr
118	59	30.8	53.8	7.9	Pr
119	59	3.6	65.4	20.4	Pr
120	59	18.1	57.2	16.6	Pr
121	59	2.1	33.4	48.2	Pr
122	59	12.4	23.5	54.8	Pr
123	59	1.3	14.3	38.7	Pr
124	59	8.3	11.6	66.9	Pr
125	59	0.6	8.6	9.9	Pr
126	59	2.8	5.3	36.6	Pr
127	59	0	4.2	0.7	Pr
128	59	0.6	0.6	4.1	Pr
129	59	0	0.4	0.3	Pr
130	59	0	0	0.5	Pr
131	59	0	0	0	Pr
133	59	0	0	0	Pr
135	59	0	0	0	Pr
87	60	0	0	0	Nd
89	60	0	0	0	Nd
91	60	0.6	0	0	Nd
92	60	0	0	0	Nd
93	60	1.5	0	0	Nd
94	60	0	0	0	Nd
95	60	2	0.4	0	Nd
96	60	1.1	0	0	Nd
97	60	2.3	0.8	0	Nd
98	60	1.9	0	0	Nd
99	60	3	1	0.2	Nd
100	60	2.4	0.4	0	Nd
101	60	4	1.2	0.4	Nd
102	60	3	0.7	0.1	Nd
103	60	5	1.4	0.4	Nd
104	60	3.6	0.7	0.4	Nd
105	60	6.9	1.7	0.4	Nd
106	60	4.6	0.8	0.5	Nd
107	60	13.4	2	0.5	Nd
108	60	6.4	1	0.6	Nd
109	60	23.8	2.5	0.6	Nd
110	60	8.8	1.1	0.6	Nd
111	60	48	3.3	0.7	Nd
112	60	14.8	1.3	0.7	Nd
113	60	63.4	4.7	0.8	Nd
114	60	21.5	1.7	0.8	Nd
115	60	71.4	7	1	Nd
116	60	39.4	2.1	1	Nd
117	60	69.1	11.6	1.3	Nd
118	60	56.6	2.8	1.2	Nd
119	60	60.2	23.6	1.9	Nd
120	60	66	3.8	1.6	Nd
121	60	32.9	51.7	3	Nd
122	60	69	5.8	2.4	Nd
123	60	17.3	65.4	5	Nd
124	60	65.6	10.6	3.4	Nd
125	60	9.9	64.7	12.4	Nd
126	60	26.3	49.9	7.6	Nd
127	60	1.4	18.5	21.6	Nd
128	60	4.5	5.6	22.4	Nd
129	60	0	3.5	4.1	Nd
130	60	0.5	0	6.6	Nd
131	60	0	0.1	0	Nd
132	60	0	0	0.4	Nd
133	60	0	0	0	Nd
135	60	0	0	0	Nd
90	61	0	0	0	Pm
91	61	2.8	0.2	0	Pm
92	61	2.1	0	0	Pm
93	61	3.2	0.7	0	Pm
94	61	3.4	0	0	Pm
95	61	4.3	1.2	0	Pm
96	61	4.5	0.2	0	Pm
97	61	5.7	1.4	0.3	Pm
98	61	5.5	0.6	0	Pm
99	61	9.2	1.7	0.4	Pm
100	61	8.2	0.8	0.3	Pm
101	61	17.5	2	0.4	Pm
102	61	14	1	0.6	Pm
103	61	31.9	2.6	0.5	Pm
104	61	24.5	1.1	0.6	Pm
105	61	53.3	3.2	0.5	Pm
106	61	54.1	1.4	0.7	Pm
107	61	75.4	4.6	0.7	Pm
108	61	73.6	1.7	0.9	Pm
109	61	77.4	6.9	0.8	Pm
110	61	79.6	2.1	1	Pm
111	61	76.1	11.7	1	Pm
112	61	83.3	2.8	1.2	Pm
113	61	64.7	24.5	1.2	Pm
114	61	83.9	4.1	1.5	Pm
115	61	35.6	54.4	1.5	Pm
116	61	83.2	6.2	2	Pm
117	61	17.1	72.9	2	Pm
118	61	79	10.5	2.7	Pm
119	61	10.7	78.2	3.7	Pm
120	61	66.5	22.2	4.4	Pm
121	61	6.8	79.7	5.2	Pm
122	61	37.8	48.4	6.7	Pm
123	61	4.1	69.3	16.9	Pm
124	61	21.5	56.2	14.4	Pm
125	61	1.9	32.3	49.8	Pm
126	61	8.9	19	61.5	Pm
127	61	0.4	11	6	Pm
128	61	1.9	4.3	11.4	Pm
129	61	0	1.1	2.2	Pm
130	61	0.2	0	2.5	Pm
131	61	0	0.2	0	Pm
132	61	0	0	0.2	Pm
133	61	0	0	0	Pm
135	61	0	0	0	Pm
139	61	0	0	0	Pm
141	61	0	0	0	Pm
143	61	0	0	0	Pm
91	62	0	0	0	Sm
93	62	0	0	0	Sm
94	62	0	0	0	Sm
95	62	0.5	0	0	Sm
96	62	0	0	0	Sm
97	62	1.5	0	0	Sm
98	62	0	0	0	Sm
99	62	2.1	0.3	0	Sm
100	62	0.9	0	0	Sm
101	62	2.6	0.8	0	Sm
102	62	2	0	0	Sm
103	62	2.8	1	0.1	Sm
104	62	2.4	0.3	0	Sm
105	62	3.5	1.1	0.3	Sm
106	62	2.9	0.6	0.1	Sm
107	62	5.3	1.3	0.4	Sm
108	62	3.7	0.7	0.3	Sm
109	62	7.2	1.5	0.4	Sm
110	62	4.5	0.8	0.5	Sm
111	62	12.6	1.9	0.5	Sm
112	62	6.3	0.9	0.5	Sm
113	62	22	2.3	0.6	Sm
114	62	8.5	1.1	0.6	Sm
115	62	39.7	3	0.7	Sm
116	62	12.9	1.3	0.7	Sm
117	62	55.8	4.1	0.7	Sm
118	62	20.7	1.6	0.8	Sm
119	62	74	5.8	1.1	Sm
120	62	37.4	2	0.9	Sm
121	62	68.5	9.7	1.2	Sm
122	62	56.7	2.7	1.1	Sm
123	62	62.1	20.9	1.9	Sm
124	62	66.5	3.8	1.8	Sm
125	62	29.1	55	3.1	Sm
126	62	67.2	10.6	3.1	Sm
127	62	3.8	69.4	11.3	Sm
128	62	7.1	17.8	59	Sm
129	62	0.3	8.3	7.4	Sm
130	62	4.2	1.1	7.6	Sm
131	62	0	1.6	0.5	Sm
132	62	2.9	0	5.7	Sm
133	62	0	0.9	0	Sm
134	62	0.4	0	3.1	Sm
135	62	0	0.1	0	Sm
136	62	0	0	0.3	Sm
139	62	0	0	0	Sm
91	63	0	0	0	Eu
92	63	0	0	0	Eu
93	63	0	0	0	Eu
94	63	0	0	0	Eu
95	63	2.3	0.1	0	Eu
96	63	1	0	0	Eu
97	63	2.7	0.6	0	Eu
98	63	3	0	0	Eu
99	63	4.7	1.2	0	Eu
100	63	4.5	0.1	0	Eu
101	63	6.7	1.4	0.2	Eu
102	63	6.3	0.6	0	Eu
103	63	8.6	1.5	0.4	Eu
104	63	8.2	0.8	0.2	Eu
105	63	14.1	1.9	0.4	Eu
106	63	13.9	0.9	0.5	Eu
107	63	37.8	2.3	0.5	Eu
108	63	27.9	1.1	0.6	Eu
109	63	58.7	3	0.5	Eu
110	63	50.3	1.3	0.7	Eu
111	63	72.6	4.1	0.6	Eu
112	63	71.1	1.6	0.8	Eu
113	63	77.4	5.9	0.8	Eu
114	63	78.5	2	0.9	Eu
115	63	77.2	9.4	0.9	Eu
116	63	82.1	2.6	1.1	Eu
117	63	70.4	18.1	1	Eu
118	63	84.1	3.6	1.4	Eu
119	63	49.9	41.1	1.8	Eu
120	63	83.3	5.5	1.7	Eu
121	63	22.7	67.5	1.8	Eu
122	63	80.3	9.4	2.5	Eu
123	63	13.1	76.3	3.3	Eu
124	63	67.2	21.6	4.1	Eu
125	63	7.4	77.5	7.1	Eu
126	63	24.3	59.2	9.3	Eu
127	63	1.8	32.4	42.5	Eu
128	63	5	6.5	53.5	Eu
129	63	0	3.6	7.4	Eu
130	63	1.1	0	11.2	Eu
131	63	0	0.8	0	Eu
132	63	0.7	0	2.4	Eu
133	63	0	0.4	0	Eu
134	63	0.3	0	1	Eu
135	63	0	0.2	0	Eu
136	63	0.1	0	0.3	Eu
137	63	0	0.1	0	Eu
138	63	0	0	0.1	Eu
139	63	0	0	0	Eu
141	63	0	0	0	Eu
143	63	0	0	0	Eu
145	63	0	0	0	Eu
147	63	0	0	0	Eu
95	64	0	0	0	Gd
97	64	0	0	0	Gd
98	64	0	0	0	Gd
99	64	0.3	0	0	Gd
100	64	0	0	0	Gd
101	64	1.2	0	0	Gd
102	64	0	0	0	Gd
103	64	1.9	0.2	0	Gd
104	64	0.8	0	0	Gd
105	64	2.2	0.6	0	Gd
106	64	1.8	0	0	Gd
107	64	3	0.9	0.1	Gd
108	64	2.4	0.2	0	Gd
109	64	3.7	1.1	0.3	Gd
110	64	2.9	0.6	0	Gd
111	64	5	1.3	0.4	Gd
112	64	3.5	0.7	0.2	Gd
113	64	7.2	1.5	0.4	Gd
114	64	4.5	0.8	0.5	Gd
115	64	10.8	1.7	0.5	Gd
116	64	5.7	0.9	0.5	Gd
117	64	14.6	2.1	0.5	Gd
118	64	8.6	1	0.6	Gd
119	64	53.7	2.6	0.7	Gd
120	64	11.3	1.3	0.6	Gd
121	64	46	3.7	0.7	Gd
122	64	21.1	1.5	0.8	Gd
123	64	68	5.6	0.9	Gd
124	64	37.9	2.1	0.9	Gd
125	64	69.6	10.8	1.4	Gd
126	64	64	3.9	1.4	Gd
127	64	11.3	72.2	2.9	Gd
128	64	13.4	60.1	13.9	Gd
129	64	1.5	12.9	30.1	Gd
130	64	5.9	2	22.2	Gd
131	64	0.6	9.3	3.3	Gd
132	64	7.4	1.3	4.2	Gd
133	64	0	6.4	2.1	Gd
134	64	8.5	0.8	5	Gd
135	64	0.1	2.9	1.3	Gd
136	64	7	0	7.6	Gd
137	64	0	2.1	0.4	Gd
138	64	4.4	0	8.2	Gd
139	64	0	1	0	Gd
140	64	1	0	4.2	Gd
141	64	0	0.4	0	Gd
142	64	0	0	1.1	Gd
143	64	0	0	0	Gd
145	64	0	0	0	Gd
147	64	0	0	0	Gd
149	64	0	0	0	Gd
95	65	0	0	0	Tb
96	65	0	0	0	Tb
97	65	1.2	0	0	Tb
98	65	0	0	0	Tb
99	65	2.2	0.1	0	Tb
100	65	0.9	0	0	Tb
101	65	2.9	0.6	0	Tb
102	65	2.1	0	0	Tb
103	65	2.9	0.9	0	Tb
104	65	2.9	0.1	0	Tb
105	65	3.2	1	0.2	Tb
106	65	3.4	0.5	0	Tb
107	65	9.6	1.5	0.4	Tb
108	65	8.8	0.8	0.2	Tb
109	65	16	1.8	0.4	Tb
110	65	13.9	0.9	0.4	Tb
111	65	35.2	2.3	0.5	Tb
112	65	26	1.1	0.6	Tb
113	65	61.3	2.8	0.5	Tb
114	65	52.3	1.3	0.7	Tb
115	65	73	3.7	0.6	Tb
116	65	69.4	1.6	0.8	Tb
117	65	75.6	5.3	0.7	Tb
118	65	80.7	1.9	0.9	Tb
119	65	80.3	8	1	Tb
120	65	81.8	2.6	1	Tb
121	65	72.5	14.9	0.9	Tb
122	65	84.1	3.6	1.3	Tb
123	65	52.9	37.3	1.4	Tb
124	65	83.5	5.8	1.8	Tb
125	65	23.2	67.1	2.1	Tb
126	65	72.3	17.3	3.3	Tb
127	65	4.6	77.7	8.4	Tb
128	65	8.9	14.2	68	Tb
129	65	0.2	11.5	10.3	Tb
130	65	2.6	1.1	17.7	Tb
131	65	0	3.6	0.8	Tb
132	65	3.4	0.2	12.4	Tb
133	65	0	3.5	0	Tb
134	65	3.2	0	7.1	Tb
135	65	0	2.7	0	Tb
136	65	2.8	0	3.7	Tb
137	65	0	1.4	0	Tb
138	65	2	0	2.9	Tb
139	65	0	0.7	0	Tb
140	65	0.8	0	2	Tb
141	65	0	0.3	0	Tb
142	65	0.3	0	0.9	Tb
143	65	0	0.2	0	Tb
144	65	0.1	0	0.3	Tb
145	65	0	0	0	Tb
146	65	0	0	0.1	Tb
147	65	0	0	0	Tb
149	65	0	0	0	Tb
151	65	0	0	0	Tb
153	65	0	0	0	Tb
91	66	0	0	0	Dy
93	66	0	0	0	Dy
99	66	0	0	0	Dy
100	66	0	0	0	Dy
101	66	0	0	0	Dy
102	66	0	0	0	Dy
103	66	0.1	0	0	Dy
104	66	0	0	0	Dy
105	66	0.8	0	0	Dy
106	66	0	0	0	Dy
107	66	1.4	0.1	0	Dy
108	66	0.6	0	0	Dy
109	66	1.6	0.4	0	Dy
110	66	1.2	0	0	Dy
111	66	2.6	0.9	0	Dy
112	66	2.2	0.1	0	Dy
113	66	3.8	1	0.3	Dy
114	66	2.9	0.5	0	Dy
115	66	4.9	1.2	0.4	Dy
116	66	3.5	0.7	0.2	Dy
117	66	5.7	1.4	0.4	Dy
118	66	5.2	0.8	0.5	Dy
119	66	12	1.6	0.5	Dy
120	66	5.6	0.9	0.5	Dy
121	66	11.8	2	0.5	Dy
122	66	8.3	1	0.6	Dy
123	66	34	2.6	0.6	Dy
124	66	13.6	1.3	0.7	Dy
125	66	55.8	3.9	0.7	Dy
126	66	36.4	1.9	0.8	Dy
127	66	37.9	45	1.5	Dy
128	66	31	52	3.9	Dy
129	66	4.1	25.6	55	Dy
130	66	7.8	4.7	62.4	Dy
131	66	4.6	12.3	3.2	Dy
132	66	8.8	2.3	7.8	Dy
133	66	3	14.6	3.5	Dy
134	66	10.8	1.5	4.9	Dy
135	66	2.1	14.3	4.3	Dy
136	66	10.2	2.1	4.1	Dy
137	66	1.3	11.5	4.8	Dy
138	66	9.4	1.2	4.4	Dy
139	66	0.4	9.5	2.2	Dy
140	66	8.2	1.2	5.2	Dy
141	66	0	6.9	0.9	Dy
142	66	7.5	0.3	6.2	Dy
143	66	0	4.7	0	Dy
144	66	5.8	0	6.1	Dy
145	66	0	2.9	0	Dy
146	66	3.6	0	5	Dy
147	66	0	1.9	0	Dy
148	66	1.3	0	3.5	Dy
149	66	0	0.5	0	Dy
150	66	0	0	1.1	Dy
151	66	0	0	0	Dy
153	66	0	0	0	Dy
155	66	0	0	0	Dy
99	67	0	0	0	Ho
100	67	0	0	0	Ho
101	67	1.2	0	0	Ho
102	67	0	0	0	Ho
103	67	1.4	0.1	0	Ho
104	67	0.7	0	0	Ho
105	67	1.6	0.4	0	Ho
106	67	1.5	0	0	Ho
107	67	2	0.7	0	Ho
108	67	2.1	0.1	0	Ho
109	67	3.6	1	0.1	Ho
110	67	3.8	0.5	0	Ho
111	67	5.4	1.1	0.3	Ho
112	67	5.5	0.7	0.1	Ho
113	67	9.5	1.4	0.4	Ho
114	67	9	0.8	0.4	Ho
115	67	18.9	1.8	0.4	Ho
116	67	17.9	1	0.6	Ho
117	67	33.3	2.5	0.5	Ho
118	67	68.2	1.2	0.7	Ho
119	67	75.8	3.5	0.6	Ho
120	67	70.3	1.6	0.7	Ho
121	67	73.9	5	0.6	Ho
122	67	79.5	2	0.9	Ho
123	67	78.7	7.8	0.8	Ho
124	67	82.7	2.7	1.1	Ho
125	67	70.4	17.9	1	Ho
126	67	84	4.8	1.5	Ho
127	67	9.9	79.2	2.7	Ho
128	67	13.9	52.9	27.1	Ho
129	67	1	18.2	46.3	Ho
130	67	5.7	4.8	33.5	Ho
131	67	1	8.7	6	Ho
132	67	6.1	3.9	18	Ho
133	67	0.9	6.3	2.8	Ho
134	67	5.9	1.2	21.4	Ho
135	67	0.6	5.7	1.3	Ho
136	67	5.2	0.7	20	Ho
137	67	0	5.9	0.3	Ho
138	67	5	0	13.6	Ho
139	67	0	4.7	0	Ho
140	67	4.2	0	10.5	Ho
141	67	0	3.7	0	Ho
142	67	3.3	0	6.5	Ho
143	67	0	2.3	0	Ho
144	67	2.7	0	4.6	Ho
145	67	0	1.2	0	Ho
146	67	2.9	0	3.2	Ho
147	67	0	1.4	0	Ho
148	67	1.8	0	2.5	Ho
149	67	0	0.5	0	Ho
150	67	0.5	0	1.4	Ho
151	67	0	0.2	0	Ho
152	67	0.1	0	0.4	Ho
153	67	0	0	0	Ho
154	67	0	0	0.1	Ho
155	67	0	0	0	Ho
157	67	0	0	0	Ho
95	68	0	0	0	Er
97	68	0	0	0	Er
101	68	0	0	0	Er
103	68	0	0	0	Er
104	68	0	0	0	Er
105	68	0	0	0	Er
106	68	0	0	0	Er
107	68	0.2	0	0	Er
108	68	0	0	0	Er
109	68	0.7	0	0	Er
